index,theta_xml_ground_truth,theta_hat_estimated,absolute_error
0,-9.85913536,4.70868667,14.56782203
1,0.00000000,6.00421387,6.00421387
2,0.00000000,-10.63144647,10.63144647
3,17.79816084,42.85998879,25.06182796
4,-0.00033959,10.77986870,10.78020829
5,-1.20449626,18.71302162,19.91751788
6,-0.02640426,30.05716671,30.08357097
7,-16.66773740,-20.11361986,3.44588246
8,25.38261925,40.04377927,14.66116003
9,4.27215739,30.90945896,26.63730156
10,0.00000000,5.70584833,5.70584833
11,0.00000000,-4.03991357,4.03991357
12,2.51501966,-25.17040842,27.68542808
13,0.01477067,2.50324783,2.48847716
14,0.03394396,-6.56693473,6.60087869
15,4.56933179,7.21821081,2.64887901
16,-0.00467363,10.01807358,10.02274721
17,1.72760927,-8.67613264,10.40374190
18,1.07790321,-15.48933371,16.56723691
19,0.00000000,-6.91228229,6.91228229
20,0.00000000,12.24640108,12.24640108
21,0.01866641,-0.29305277,0.31171918
22,-0.00000148,3.87657366,3.87657514
23,-0.00000675,3.22348207,3.22348881
24,0.02327220,-1.28676903,1.31004123
25,-0.00134423,0.11710948,0.11845371
26,0.00006704,-2.07807458,2.07814161
27,-0.39649022,2.16954550,2.56603572
28,0.00000000,-3.21736179,3.21736179
29,0.00000000,4.17190594,4.17190594
30,0.00033136,2.03412695,2.03379559
31,0.00000000,0.20801802,0.20801802
32,-0.00000000,0.42360200,0.42360200
33,0.00107473,0.77304579,0.77197105
34,0.00020350,-0.90127614,0.90147964
35,0.00000000,-0.18998927,0.18998927
36,0.00520181,-0.52870268,0.53390448
37,0.00000000,-1.66999357,1.66999357
38,0.00000000,1.03125199,1.03125199
39,0.00000014,-0.62072229,0.62072243
40,0.00000000,0.34266468,0.34266468
41,0.00000000,-0.05330724,0.05330724
42,0.00000000,-0.50297136,0.50297136
43,0.00000311,0.16223544,0.16223233
44,-0.00000000,-0.55740925,0.55740925
45,-0.00000000,-0.53875222,0.53875222
46,0.00000000,0.08954425,0.08954425
47,0.00000000,0.20480396,0.20480396
