tau1,tau2,tau3,tau4,tau5,tau6
-1.70174985214544e-11,2.842170943040401e-14,-2.1316282072803006e-14,6.8833827526759706e-15,-1.84297022087776e-14,3.0184188481996443e-15
3.966249551012879e-11,0.0,7.105427357601002e-15,1.2545520178264269e-14,7.527312106958561e-14,-3.1589314497537657e-15
1.864677301455231e-10,2.842170943040401e-14,0.0,-5.551115123125783e-16,-4.063416270128073e-14,3.013214677771714e-15
9.599432360118954e-11,-2.842170943040401e-14,-7.105427357601002e-15,3.9968028886505635e-15,3.1530333899354446e-14,-3.8892500331400015e-15
6.831868404333363e-12,0.0,2.1316282072803006e-14,-3.042011087472929e-14,-2.255973186038318e-13,2.534430998402115e-15
-7.757350317660894e-12,2.842170943040401e-14,0.0,9.992007221626409e-15,9.126033262418787e-14,1.448494102440634e-15
-2.411688626580144e-10,0.0,-7.105427357601002e-15,-9.43689570931383e-15,-6.261657858885883e-14,-1.9255430583342559e-16
5.721378926182297e-11,5.684341886080802e-14,-1.4210854715202004e-14,9.992007221626409e-16,-4.884981308350689e-15,3.3324037973514464e-15
-1.1582024228573573e-10,0.0,7.105427357601002e-15,9.43689570931383e-16,2.1316282072803006e-14,3.6186331708876196e-15
-8.568079579163168e-11,8.526512829121202e-14,0.0,-2.4424906541753444e-15,-4.196643033083092e-14,8.638922910364499e-16
1.2153833495176514e-10,-2.842170943040401e-14,-7.105427357601002e-15,-1.9484414082171497e-14,-1.1479706074624119e-13,2.7478019859472624e-15
-5.664713143005429e-11,-2.842170943040401e-14,-7.105427357601002e-15,-1.637578961322106e-14,-1.2967404927621828e-13,-3.2612801348363973e-15
-9.935696709817421e-11,5.684341886080802e-14,1.4210854715202004e-14,-7.91033905045424e-15,-7.216449660063518e-14,2.4251434194155763e-15
6.500933125153097e-11,-2.842170943040401e-14,-2.1316282072803006e-14,-3.6914915568786455e-15,-7.793765632868599e-14,2.1024848528838902e-15
7.319478356748732e-11,0.0,-7.105427357601002e-15,5.9119376061289586e-15,4.6851411639181606e-14,-2.525757381022231e-15
-1.3419043654039342e-10,0.0,0.0,3.497202527569243e-15,4.085620730620576e-14,-2.1718737919229625e-15
7.423039960485767e-11,2.842170943040401e-14,0.0,-1.5584755708175635e-14,-1.461053500406706e-13,-8.81239525796218e-16
1.8052404016088985e-10,2.842170943040401e-14,-1.4210854715202004e-14,-3.3584246494910985e-15,-5.795364188543317e-14,-6.800116025829084e-16
8.342837531927216e-11,2.842170943040401e-14,-7.105427357601002e-15,-1.3877787807814457e-16,-2.220446049250313e-14,1.096345236817342e-15
8.244693816550352e-11,0.0,-7.105427357601002e-15,8.298917109073045e-15,3.219646771412954e-14,1.0651202142497596e-15
-2.2158275214678724e-11,0.0,-7.105427357601002e-15,5.689893001203927e-15,4.6629367034256575e-15,3.747002708109903e-15
-1.2742606969595727e-10,5.684341886080802e-14,-7.105427357601002e-15,6.938893903907228e-15,5.617728504603292e-14,2.8171909249863347e-15
-9.28874754890785e-11,5.684341886080802e-14,0.0,-2.4424906541753444e-15,-3.3306690738754696e-14,-1.880440247958859e-15
4.5856651809117466e-12,0.0,0.0,-2.3314683517128287e-14,-1.4077627952246985e-13,-1.97758476261356e-16
1.6298074001497298e-11,5.684341886080802e-14,-1.4210854715202004e-14,1.5376588891058418e-14,1.41886502547095e-13,-2.393918396847994e-16
-1.5920598173124745e-11,-2.842170943040401e-14,7.105427357601002e-15,1.3877787807814457e-14,1.0258460747536446e-13,2.185751579730777e-16
2.7351454434665357e-11,2.842170943040401e-14,0.0,-1.3211653993039363e-14,-4.773959005888173e-14,1.4051260155412137e-15
-4.1874059775182104e-11,-2.842170943040401e-14,0.0,1.2212453270876722e-14,9.992007221626409e-14,1.6583956430338276e-15
1.2456347064926376e-10,8.526512829121202e-14,7.105427357601002e-15,-1.7985612998927536e-14,5.10702591327572e-15,2.1718737919229625e-15
8.613199042883934e-11,0.0,7.105427357601002e-15,-1.887379141862766e-15,-2.4424906541753444e-15,-2.851885394505871e-15
