time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,-1.288058926784147129e+00,5.671629242925314562e-01,-1.612546157251184553e-01,2.868263153947275601e+00,-7.246043453744265284e-01,2.160841513857938878e+00,-4.069623689184536652e-01,-2.974099303207718981e-01,-5.515555772469853402e-01,-1.892331146937370479e+00,2.262315895998197324e-01,-2.474555284184520865e+00,9.782428436928947146e-01,-2.778237396744275944e+00,-2.490396050802608841e+00,2.050259622486974020e-01,6.020801392656727202e-02,-3.413601730584802318e+00
6.671114076050700149e-03,-1.290752083121853966e+00,5.651172042079228852e-01,-1.649894524433287157e-01,2.855644568571740205e+00,-7.230938161595851232e-01,2.144258321662196654e+00,-4.004506166719024041e-01,-3.158732238491276378e-01,-5.681377850771237581e-01,-1.890599527340944830e+00,2.266210979327055730e-01,-2.496964472059155504e+00,9.740017864139733916e-01,-2.756897242739770881e+00,-2.480785263274083441e+00,3.140516712634691121e-01,5.663648835265022718e-02,-3.304537450551974231e+00
1.334222815210140030e-02,-1.293401892229202987e+00,5.629487953892544638e-01,-1.688346897805277913e-01,2.843039958217857155e+00,-7.215807648457093215e-01,2.127528068059934885e+00,-3.939667236570552622e-01,-3.341909432722267592e-01,-5.846525854279116530e-01,-1.888141872995712900e+00,2.269881832226935958e-01,-2.518643410942241978e+00,9.698916792310703361e-01,-2.734595168779937246e+00,-2.470187487748195299e+00,4.226838517157773811e-01,5.348617712071024322e-02,-3.194679079573781166e+00
2.001334222815210132e-02,-1.296008536998746408e+00,5.606586903422838830e-01,-1.727898561009650058e-01,2.830454157263798898e+00,-7.200653316207750176e-01,2.110655642028104850e+00,-3.875097957967147955e-01,-3.523566897071080395e-01,-6.010933984008143272e-01,-1.884960955583175668e+00,2.273356670165599946e-01,-2.539586923685622111e+00,9.659186386443887606e-01,-2.711336690657030424e+00,-2.458604110092939443e+00,5.308786494007406986e-01,5.076051235765222103e-02,-3.084062736576157704e+00
2.668445630420280060e-02,-1.298572194223677201e+00,5.582479241349979082e-01,-1.768544359072985461e-01,2.817891980623453918e+00,-7.185476377752616495e-01,2.093645966275264669e+00,-3.810788987671262507e-01,-3.703641022868763288e-01,-6.174536546128401859e-01,-1.881059838544944629e+00,2.276663929761964522e-01,-2.559790075002307042e+00,9.620886134882182805e-01,-2.687127689626288785e+00,-2.446036897045158032e+00,6.385924518494354718e-01,4.846269171887684912e-02,-2.972724810512676896e+00
3.335557038025350335e-02,-1.301093034333099752e+00,5.557175741358784116e-01,-1.810278699192223451e-01,2.805358221805576147e+00,-7.170277855598516936e-01,2.076503995622181353e+00,-3.746730591280610367e-01,-3.882068605951984330e-01,-6.337267977380932615e-01,-1.876441875410044036e+00,2.279832253079640547e-01,-2.579248173225725527e+00,9.584073814803943936e-01,-2.661974411317187261e+00,-2.432487996404923969e+00,7.457819063117285818e-01,4.659567647119056133e-02,-2.860701947711851378e+00
4.002668445630420263e-02,-1.303571221134909974e+00,5.530687597359522645e-01,-1.853095551690520648e-01,2.792857650984492235e+00,-7.155058580536501900e-01,2.059234715370974023e+00,-3.682912654755864934e-01,-4.058786870930410906e-01,-6.499062870501112199e-01,-1.871110708002662770e+00,2.282890471796445442e-01,-2.597956771984184510e+00,9.548805458712095184e-01,-2.635883464496251882e+00,-2.417959937076235022e+00,8.524039376116196998e-01,4.516218969057694821e-02,-2.748031039115271135e+00
4.669779853235490191e-02,-1.306006911566441442e+00,5.503026420546823783e-01,-1.896988451142702647e-01,2.780395013083154954e+00,-7.139819190430031215e-01,2.041843139663380935e+00,-3.619324696168580990e-01,-4.233733495366612809e-01,-6.659855999639597846e-01,-1.865070264531244471e+00,2.285867591257492726e-01,-2.615911671789859838e+00,9.515135321934133916e-01,-2.608861819681536076e+00,-2.402455628953699573e+00,9.584157658675684921e-01,4.416471457570447789e-02,-2.634749207411330119e+00
5.336891260840560119e-02,-1.308400255453022520e+00,5.474204236297581794e-01,-1.941950497670261733e-01,2.767975025869347849e+00,-7.124560129109926976e-01,2.024334309828705880e+00,-3.555955877662460574e-01,-4.406846633858577111e-01,-6.819582345770596188e-01,-1.858324757559830731e+00,2.288792774419716736e-01,-2.633108921541605696e+00,9.483115851149135356e-01,-2.580916807608929719e+00,-2.385978362654952445e+00,1.063774924070346684e+00,4.360549287798565210e-02,-2.520893794069324123e+00
6.004002668445630048e-02,-1.310751395274577291e+00,5.444233480908575729e-01,-1.987974358405796282e-01,2.755602378065807212e+00,-7.109281645376754888e-01,2.006713292722029252e+00,-3.492795017621163067e-01,-4.578064942014978267e-01,-6.978177122077091621e-01,-1.850878681862635045e+00,2.291695325695522478e-01,-2.649544819940956142e+00,9.452797653957096813e-01,-2.552056117550518088e+00,-2.368531809098613383e+00,1.168439275510996689e+00,4.348652344894787802e-02,-2.406502346278782234e+00
6.671114076050700670e-02,-1.313060465940416588e+00,5.413126998174512261e-01,-2.035052269126682856e-01,2.743281727475039844e+00,-7.093983792111312470e-01,1.988985179053269770e+00,-3.429830603035571301e-01,-4.747327600313354656e-01,-7.135575799302803501e-01,-1.842736812162878657e+00,2.294604674703494274e-01,-2.665215916820692144e+00,9.424229469505671641e-01,-2.522287795485297579e+00,-2.350120018927651877e+00,1.272367031051592212e+00,4.380956090561949345e-02,-2.291612603798899528e+00
