time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,2.888843664259022614e-01,8.216086351308814484e-01,5.546183900738036465e-01,2.136280786068752491e+00,1.292139239759527936e+00,-2.444177648857889018e+00,-7.998737186077451433e-01,-3.086171212492602178e-01,-8.611889739346090256e-01,5.373518041933765810e-01,-1.626077531029844758e+00,-1.134165119254275211e+00,5.466461801692954481e-01,-3.095897451712912751e+00,-1.795669750297371747e+00,-1.509009081668965635e+00,-1.977211936870460818e+00,-2.879128120198510388e+00
6.671114076050700149e-03,2.835605280961218666e-01,8.194810233277165512e-01,5.488334931754154100e-01,2.139832044255640220e+00,1.281247937433223960e+00,-2.451808144840479375e+00,-7.962062074352220797e-01,-3.292259847766675906e-01,-8.731004992399671316e-01,5.273305719221960119e-01,-1.639068289491440122e+00,-1.153500050611905525e+00,5.527668208001104144e-01,-3.082485147624263178e+00,-1.775328123285530690e+00,-1.495363756087869200e+00,-1.917297095047590272e+00,-2.917329185446213113e+00
1.334222815210140030e-02,2.782612875948640152e-01,8.172162327718330843e-01,5.429695892098145293e-01,2.143316752953700721e+00,1.270271310804607312e+00,-2.459568469464196383e+00,-7.925000016513148449e-01,-3.497422812753178123e-01,-8.848747785748706240e-01,5.174002151023872065e-01,-1.651656967429697698e+00,-1.173086700901047497e+00,5.582470629646218985e-01,-3.068146431494512605e+00,-1.754524107958461698e+00,-1.481765503225804359e+00,-1.856672241374713428e+00,-2.954590417927385193e+00
2.001334222815210132e-02,2.729868888194429410e-01,8.148149015767056635e-01,5.370276040181419797e-01,2.146735517317011066e+00,1.259212057817261421e+00,-2.467460280927245453e+00,-7.887593682906547388e-01,-3.701598423853595943e-01,-8.965087414509371744e-01,5.075604022234524448e-01,-1.663838909547462830e+00,-1.192918740038760639e+00,5.630885016328894821e-01,-3.052884902984618343e+00,-1.733261971782724453e+00,-1.468219539515012606e+00,-1.795361787731525549e+00,-2.990893791698694848e+00
2.668445630420280060e-02,2.677375472392346523e-01,8.122777089233244041e-01,5.310084838291254661e-01,2.150088940173141783e+00,1.248072906925538073e+00,-2.475485194801028577e+00,-7.849885626481680756e-01,-3.904725247576223968e-01,-9.079993463124542696e-01,4.978107674768965651e-01,-1.675609624316687807e+00,-1.212989719045611814e+00,5.672930611454636285e-01,-3.036704460485672108e+00,-1.711546121085996131e+00,-1.454730930834645886e+00,-1.733390418522611442e+00,-3.026221688720168501e+00
3.335557038025350335e-02,2.625134499813119859e-01,8.096053748867055866e-01,5.249131950629863930e-01,2.153377621797713637e+00,1.236856615996045239e+00,-2.483644783246103049e+00,-7.811918260870375219e-01,-4.106742120433582444e-01,-9.193435814582782140e-01,4.881509117650344454e-01,-1.686964785762453012e+00,-1.233293072790365930e+00,5.708629936203533095e-01,-3.019609300165683408e+00,-1.689381099712288226e+00,-1.441304591193671270e+00,-1.670783080459027126e+00,-3.060556905876880229e+00
4.002668445630420263e-02,2.573147559306656063e-01,8.067986602491497017e-01,5.187427241292267288e-01,2.156602159695705900e+00,1.225565971197465576e+00,-2.491940574246597873e+00,-7.773733838577940869e-01,-4.307588168772746307e-01,-9.305384659546125370e-01,4.785804037182485593e-01,-1.697900235178471995e+00,-1.253822122780900994e+00,5.738008772095761767e-01,-3.001603914911512572e+00,-1.666771587633410823e+00,-1.427945281514195086e+00,-1.607564972238282985e+00,-3.093882661812456192e+00
4.669779853235490191e-02,2.521415958449343409e-01,8.038583663002967228e-01,5.124980772183576061e-01,2.159763148389586274e+00,1.214203785879153452e+00,-2.500374050863408470e+00,-7.735374429295376331e-01,-4.507202828531598482e-01,-9.415810505383810369e-01,4.690987807200260318e-01,-1.708411982773430982e+00,-1.274570080000066996e+00,5.761096142062409609e-01,-2.982693093166185250e+00,-1.643722399517238530e+00,-1.414657608515437648e+00,-1.543761534127057633e+00,-3.126182603571623808e+00
5.336891260840560119e-02,2.469940724835609780e-01,8.007853346240254577e-01,5.061802800876344932e-01,2.162861179214296214e+00,1.202772899438990351e+00,-2.508946650506453935e+00,-7.696881898342817774e-01,-4.705525864914036904e-01,-9.524684185109064671e-01,4.597055499391083377e-01,-1.718496209247514894e+00,-1.295530047785223182e+00,5.777924290032012689e-01,-2.962881917661868592e+00,-1.620238483253344075e+00,-1.401446023698520671e+00,-1.479398437451021175e+00,-3.157440813049168238e+00
6.004002668445630048e-02,2.418722607512815426e-01,7.975804468722588192e-01,4.997903778408626652e-01,2.165896840119144517e+00,1.191276176180953161e+00,-2.517659764226280128e+00,-7.658297885254086168e-01,-4.902497391977169716e-01,-9.631976866216116484e-01,4.504001893680724677e-01,-1.728149267298524361e+00,-1.316695024750133225e+00,5.788528659043588043e-01,-2.942175764048825304e+00,-1.596324918436591300e+00,-1.388314822432192841e+00,-1.414501573996163053e+00,-3.187641813242707123e+00
6.671114076050700670e-02,2.367762078558512395e-01,7.942446245257329673e-01,4.933294347023420845e-01,2.168870715476653110e+00,1.179716504162869217e+00,-2.526514736025301300e+00,-7.619663782512116068e-01,-5.098057892123627477e-01,-9.737660059414687819e-01,4.411821488676773706e-01,-1.737367683057004841e+00,-1.338057907747922659e+00,5.792947867897866310e-01,-2.920580299420701298e+00,-1.571986914809277547e+00,-1.375268143139562804e+00,-1.349097045326079103e+00,-3.216770574306822450e+00
7.338225483655770598e-02,2.317059334799040637e-01,7.907788286417950507e-01,4.867985337850205263e-01,2.171783385898381269e+00,1.168096794034841013e+00,-2.535512862188936012e+00,-7.581020714445031450e-01,-5.292148235491993535e-01,-9.841705627259160760e-01,4.320508512162993808e-01,-1.746148157449841198e+00,-1.359611494873742332e+00,5.791223686358875078e-01,-2.898101480736543500e+00,-1.547229810662444249e+00,-1.362309966585846910e+00,-1.283211152019682277e+00,-3.244812519406134577e+00
8.005336891260840526e-02,2.266614299668334165e-01,7.871840595893034864e-01,4.801987768529252243e-01,2.174635428057771325e+00,1.156419977868811788e+00,-2.544655390636902492e+00,-7.542409516292392091e-01,-5.484709699238586866e-01,-9.944085792669778989e-01,4.230056931637790063e-01,-1.754487567491804345e+00,-1.381348488505817373e+00,5.783401008918733766e-01,-2.874745553139976817e+00,-1.522059071196973701e+00,-1.349444115267086630e+00,-1.216870382833838971e+00,-3.271753530365031359e+00
