time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
0.000000000000000000e+00,4.059245741003561503e-01,7.549744250772978393e-01,5.190548377314457840e-01,1.516018973111303181e+00,8.770373840770988583e-01,-2.420134693648738011e+00,-5.910104344098539020e-01,-2.710736283837029137e-01,-7.897691810224169995e-01,3.696200729141109198e-01,-1.771827139495216752e+00,-9.897303218876500885e-01,4.747859013858535260e-01,-2.828994594189588430e+00,-1.903402094498563013e+00,-1.554167211856424258e+00,-2.502235934330801825e+00,-4.187278073562223923e+00
6.671114076050700149e-03,4.019924638778767934e-01,7.531032269036634919e-01,5.137439723853342022e-01,1.518450297258074899e+00,8.651621246101641738e-01,-2.426830711486689829e+00,-5.878329571889140404e-01,-2.898940594458023212e-01,-8.024087348962360977e-01,3.593103249126214371e-01,-1.788303291124105687e+00,-1.017771243897009015e+00,4.777117645393880174e-01,-2.813233017988880036e+00,-1.885850501047761307e+00,-1.536702201935190581e+00,-2.437157962325268379e+00,-4.219132757299512093e+00
1.334222815210140030e-02,3.980816111816394276e-01,7.511068323286048676e-01,5.083491814948375431e-01,1.520813232208120702e+00,8.531784058747784449e-01,-2.433714490851302870e+00,-5.846381610157261877e-01,-3.086065939161060090e-01,-8.149294897957644057e-01,3.491169419431705556e-01,-1.804342199295908777e+00,-1.046019501446711741e+00,4.799783973334106335e-01,-2.796647942350606542e+00,-1.867786761866619738e+00,-1.519281972834717775e+00,-2.371154620958525250e+00,-4.249434966921363355e+00
2.001334222815210132e-02,3.941921168920723972e-01,7.489859794333133536e-01,5.028712689506875666e-01,1.523108553205279714e+00,8.410891651722012252e-01,-2.440787380254942907e+00,-5.814304378218873026e-01,-3.272057533590932987e-01,-8.273280413160828406e-01,3.390396054767677581e-01,-1.819937776728403733e+00,-1.074464692475927130e+00,4.815876169714916610e-01,-2.779243973948166246e+00,-1.849214553633979463e+00,-1.501912431779334867e+00,-2.304251741961299338e+00,-4.278171223088691910e+00
2.668445630420280060e-02,3.903240526335235439e-01,7.467414427418400669e-01,4.973110612718305568e-01,1.525337033238167939e+00,8.288973798351819688e-01,-2.448050658521615741e+00,-5.782141662654606273e-01,-3.456860909253902103e-01,-8.396010100951091237e-01,3.290779581011517574e-01,-1.835084109659199214e+00,-1.103096327213749284e+00,4.825415854173575880e-01,-2.761025975419908018e+00,-1.830137707315405926e+00,-1.484599328507466343e+00,-2.236475513079549504e+00,-4.305328710447332341e+00
3.335557038025350335e-02,3.864774608704695247e-01,7.443740330046955123e-01,4.916694074349381993e-01,1.527499442784294947e+00,8.166060660625447110e-01,-2.455505534216654073e+00,-5.749937094359836021e-01,-3.640421930549421758e-01,-8.517450428388444461e-01,3.192316045761134369e-01,-1.849775460185200782e+00,-1.131903832624153061e+00,4.828428078867981199e-01,-2.741999064036161560e+00,-1.810560206950889484e+00,-1.467348253875588426e+00,-2.167852467393101890e+00,-4.330895282208459207e+00
4.002668445630420263e-02,3.826523550190019107e-01,7.418845969711175270e-01,4.859471786971087948e-01,1.529596549561257124e+00,8.042182777384077053e-01,-2.463153145106154795e+00,-5.717734125700651981e-01,-3.822686811710068744e-01,-8.637568133383736191e-01,3.095001128977803440e-01,-1.864006268530369326e+00,-1.160876556880536148e+00,4.824941311808228495e-01,-2.722168610279851908e+00,-1.790486188394154077e+00,-1.450164638567242426e+00,-2.098409472499558781e+00,-4.354859464435386407e+00
4.669779853235490191e-02,3.788487195735136259e-01,7.392740171500695734e-01,4.801452684118098224e-01,1.531629118285055879e+00,7.917371052365143047e-01,-2.470994557646362111e+00,-5.685576007786316000e-01,-4.003602133643909267e-01,-8.756330234782924160e-01,2.998830153711614654e-01,-1.877771155240886891e+00,-1.190003773867869485e+00,4.814987418609630865e-01,-2.701540236341110734e+00,-1.769919938004107296e+00,-1.433053751907302331e+00,-2.028173719568012512e+00,-4.377210460035194650e+00
5.336891260840560119e-02,3.750665102485046809e-01,7.365432115600381024e-01,4.742645918381250270e-01,1.533597910435595901e+00,7.791656742101651378e-01,-2.479030766503167005e+00,-5.653505767868680643e-01,-4.183114860673575741e-01,-8.873704042362487998e-01,2.903798096902515669e-01,-1.891064923306875256e+00,-1.219274687710491412e+00,4.798601642676640910e-01,-2.680119814526264577e+00,-1.748865891288960528e+00,-1.416020700781648101e+00,-1.957172712267113424e+00,-4.397938152453789939e+00
6.004002668445630048e-02,3.713056541354225470e-01,7.336931334676994876e-01,4.683060859433618717e-01,1.535503684029414506e+00,7.665071443682412999e-01,-2.487262694101898486e+00,-5.621566186878997895e-01,-4.361172357166365754e-01,-8.989657166732818450e-01,2.809899600249911034e-01,-1.903882560209847696e+00,-1.248678437323553103e+00,4.775822583827955548e-01,-2.657913465581671186e+00,-1.727328631503583845e+00,-1.399070428662332111e+00,-1.885434255572074669e+00,-4.417033109073109642e+00
6.671114076050700670e-02,3.675660498744350857e-01,7.307247711155293590e-01,4.622707091990854167e-01,1.537347193399680956e+00,7.537647082378224894e-01,-2.495691190207545596e+00,-5.589799777112496315e-01,-4.537722404049699954e-01,-9.104157529146499339e-01,2.717128981143757671e-01,-1.916219239895099458e+00,-1.278204100986141345e+00,4.746692175373807832e-01,-2.634927556932866288e+00,-1.705312888200661181e+00,-1.382207714738265647e+00,-1.812986444455294333e+00,-4.434486584309339285e+00
7.338225483655770598e-02,3.638475678410425518e-01,7.276391474384361624e-01,4.561594413706405726e-01,1.539129188983506147e+00,7.409415899138962480e-01,-2.504317031535558069e+00,-5.558248760071036187e-01,-4.712713215206291717e-01,-9.217173371208399191e-01,2.625480243650161749e-01,-1.928070324668278879e+00,-1.307840700934055800e+00,4.711255659656994332e-01,-2.611168700839529677e+00,-1.682823535736228227e+00,-1.365437173151416106e+00,-1.739857652465272908e+00,-4.450290522411109784e+00
